ppid,source,ua,slug,source_group,timestamp,date
xsqzw1736390794424d2415b0fc209,related_post | website | related_6,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Mobile/15E148 Safari/604.1",nfl-active-news-maxx-crosby-withdraws-antonio-pierce-support-as-tom-bradys-raiders-betray-hc-to-announce-firing,Related Post,2025-01-09 02:54:44,2025-01-09
xsqzw1736390794424d2415b0fc209,related_post | website | related_6,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Mobile/15E148 Safari/604.1",nfl-active-news-maxx-crosby-withdraws-antonio-pierce-support-as-tom-bradys-raiders-betray-hc-to-announce-firing,Related Post,2025-01-09 02:54:45,2025-01-09
vhfgl17296469915862fe5e3a93c1b,related_post | website | related_6,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",mlb-baseball-news-blake-snell-reveals-his-one-wholesome-request-from-andrew-friedman-regarding-a-dodgers-legend,Related Post,2025-01-09 03:38:07,2025-01-09
vhfgl17296469915862fe5e3a93c1b,related_post | website | related_6,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",mlb-baseball-news-blake-snell-reveals-his-one-wholesome-request-from-andrew-friedman-regarding-a-dodgers-legend,Related Post,2025-01-09 03:38:07,2025-01-09
vhfgl17296469915862fe5e3a93c1b,related_post | website | related_6,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",mlb-baseball-news-blake-snell-reveals-his-one-wholesome-request-from-andrew-friedman-regarding-a-dodgers-legend,Related Post,2025-01-09 03:38:07,2025-01-09
rj45w1714238809072ff9f34835c75,related_post | website | related_6,"Mozilla/5.0 (iPad; CPU OS 18_3_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/133.0.6943.33 Mobile/15E148 Safari/604.1",ncaa-college-basketball-news-geno-auriemma-confirms-stance-on-uconn-star-making-comeback-after-one-year-hiatus,Related Post,2025-02-07 18:43:03,2025-02-08
rj45w1714238809072ff9f34835c75,related_post | website | related_6,"Mozilla/5.0 (iPad; CPU OS 18_3_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/133.0.6943.33 Mobile/15E148 Safari/604.1",ncaa-college-basketball-news-geno-auriemma-confirms-stance-on-uconn-star-making-comeback-after-one-year-hiatus,Related Post,2025-02-07 18:43:03,2025-02-08
rj45w1714238809072ff9f34835c75,related_post | website | related_6,"Mozilla/5.0 (iPad; CPU OS 18_3_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/133.0.6943.33 Mobile/15E148 Safari/604.1",ncaa-college-basketball-news-geno-auriemma-confirms-stance-on-uconn-star-making-comeback-after-one-year-hiatus,Related Post,2025-02-07 18:43:03,2025-02-08
rj45w1714238809072ff9f34835c75,related_post | website | related_6,"Mozilla/5.0 (iPad; CPU OS 18_3_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/133.0.6943.33 Mobile/15E148 Safari/604.1",ncaa-college-basketball-news-geno-auriemma-confirms-stance-on-uconn-star-making-comeback-after-one-year-hiatus,Related Post,2025-02-07 18:43:03,2025-02-08
rj45w1714238809072ff9f34835c75,related_post | website | related_6,"Mozilla/5.0 (iPad; CPU OS 18_3_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/133.0.6943.33 Mobile/15E148 Safari/604.1",ncaa-college-basketball-news-geno-auriemma-confirms-stance-on-uconn-star-making-comeback-after-one-year-hiatus,Related Post,2025-02-07 18:43:04,2025-02-08
rj45w1714238809072ff9f34835c75,related_post | website | related_6,"Mozilla/5.0 (iPad; CPU OS 18_3_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/133.0.6943.33 Mobile/15E148 Safari/604.1",ncaa-college-basketball-news-geno-auriemma-confirms-stance-on-uconn-star-making-comeback-after-one-year-hiatus,Related Post,2025-02-07 18:43:04,2025-02-08
rj45w1714238809072ff9f34835c75,related_post | website | related_6,"Mozilla/5.0 (iPad; CPU OS 18_3_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/133.0.6943.33 Mobile/15E148 Safari/604.1",ncaa-college-basketball-news-geno-auriemma-confirms-stance-on-uconn-star-making-comeback-after-one-year-hiatus,Related Post,2025-02-07 18:43:04,2025-02-08
rj45w1714238809072ff9f34835c75,related_post | website | related_6,"Mozilla/5.0 (iPad; CPU OS 18_3_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/133.0.6943.33 Mobile/15E148 Safari/604.1",ncaa-college-basketball-news-geno-auriemma-confirms-stance-on-uconn-star-making-comeback-after-one-year-hiatus,Related Post,2025-02-07 18:43:04,2025-02-08
lt7bh17350777239961edbc5c16757,msn_related_post | msn | msn_related_1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0",ncaa-college-football-news-sherrone-moores-michigan-awarded-for-their-labor-as-osus-twenty-m-gamble-holds-on-to-national-title-fate,MSN,2025-01-14 23:02:43,2025-01-15
